Lake,Date,Parameter,Depth,Value
Little Otter,7/1/19,Chlorophyll-a (ug/L),0,0.41
Green,7/1/19,Chlorophyll-a (ug/L),0,0.2
Crooked,7/1/19,Chlorophyll-a (ug/L),0,0.04
Ball,7/1/19,Chlorophyll-a (ug/L),0,16.5
North Twin,6/24/19,Chlorophyll-a (ug/L),0,0.1
Shipshewanna,6/24/19,Chlorophyll-a (ug/L),0,18.9
Royer,6/24/19,Chlorophyll-a (ug/L),0,33.7
Oliver,6/24/19,Chlorophyll-a (ug/L),0,0.2
Big Long,6/24/19,Chlorophyll-a (ug/L),0,0.11
Rivir,6/25/19,Chlorophyll-a (ug/L),0,25.55
Dock,6/25/19,Chlorophyll-a (ug/L),0,0.45
Bowen,6/25/19,Chlorophyll-a (ug/L),0,NA
Williams,6/25/19,Chlorophyll-a (ug/L),0,16.43
Port Mitchell,6/25/19,Chlorophyll-a (ug/L),0,15.75
"Twin Pits, East",6/26/19,Chlorophyll-a (ug/L),0,0.05
Huntingburg City,6/26/19,Chlorophyll-a (ug/L),0,0.47
Ferdinand City,6/26/19,Chlorophyll-a (ug/L),0,0.56
Huntingburg City,6/26/19,Chlorophyll-a (ug/L),0,0.06
McClish,7/1/19,Chlorophyll-a (ug/L),0,0.1
Bixler,7/2/19,Chlorophyll-a (ug/L),0,0.18
Sacrider,7/2/19,Chlorophyll-a (ug/L),0,24.04
Crane,7/2/19,Chlorophyll-a (ug/L),0,52.18
Knapp,7/2/19,Chlorophyll-a (ug/L),0,0.31
Fancher,7/8/19,Chlorophyll-a (ug/L),0,0.08
Lake George,7/8/19,Chlorophyll-a (ug/L),0,46.97
Hudson,7/8/19,Chlorophyll-a (ug/L),0,0.14
Potato Cr. (Worster),7/8/19,Chlorophyll-a (ug/L),0,0.45
Pleasant,7/8/19,Chlorophyll-a (ug/L),0,22.67
Kreighbaum,7/8/19,Chlorophyll-a (ug/L),0,0.36
Thomas,7/9/19,Chlorophyll-a (ug/L),0,0.21
Hortz,7/9/19,Chlorophyll-a (ug/L),0,0.18
Nyona,7/9/19,Chlorophyll-a (ug/L),0,77.81
South Mud,7/9/19,Chlorophyll-a (ug/L),0,7.86
Mansfield Reservoir (Harden),7/10/19,Chlorophyll-a (ug/L),0,13.97
Green Valley,7/10/19,Chlorophyll-a (ug/L),0,22.26
Stump Jumper,7/10/19,Chlorophyll-a (ug/L),0,0.03
Airline,7/10/19,Chlorophyll-a (ug/L),0,0.04
Scott,7/10/19,Chlorophyll-a (ug/L),0,0.11
Pigeon,7/15/19,Chlorophyll-a (ug/L),0,20
Fox,7/15/19,Chlorophyll-a (ug/L),0,0.1
James,7/15/19,Chlorophyll-a (ug/L),0,0.4
Oswego,7/15/19,Chlorophyll-a (ug/L),0,0.3
Little Chapman,7/15/19,Chlorophyll-a (ug/L),0,7.3
Center,7/16/19,Chlorophyll-a (ug/L),0,0.16
Palestine,7/16/19,Chlorophyll-a (ug/L),0,114.46
Winona,7/16/19,Chlorophyll-a (ug/L),0,6.38
St. Joseph Impoundment,7/16/19,Chlorophyll-a (ug/L),0,38.96
Clair,7/16/19,Chlorophyll-a (ug/L),0,25.19
Spectacle,7/22/19,Chlorophyll-a (ug/L),0,0.18
Hog,7/22/19,Chlorophyll-a (ug/L),0,1.91
Flat,7/22/19,Chlorophyll-a (ug/L),0,30.72
Shockapee,7/22/19,Chlorophyll-a (ug/L),0,32.96
Henderson,7/23/19,Chlorophyll-a (ug/L),0,5.53
Wolf,7/23/19,Chlorophyll-a (ug/L),0,14.12
Hammond,7/23/19,Chlorophyll-a (ug/L),0,0.36
Sellers,7/23/19,Chlorophyll-a (ug/L),0,69.8
Troy Cedar,7/23/19,Chlorophyll-a (ug/L),0,28.35
Moss,7/24/19,Chlorophyll-a (ug/L),0,1.93
Long,7/24/19,Chlorophyll-a (ug/L),0,0.35
Sullivan,7/24/19,Chlorophyll-a (ug/L),0,20.79
Duck,7/24/19,Chlorophyll-a (ug/L),0,0.22
Tree,7/24/19,Chlorophyll-a (ug/L),0,0.22
Trimble,7/29/19,Chlorophyll-a (ug/L),0,0.2
Dogwood,7/29/19,Chlorophyll-a (ug/L),0,0.2
Red Pine,7/29/19,Chlorophyll-a (ug/L),0,12
Lincoln,7/29/19,Chlorophyll-a (ug/L),0,0.2
Deam,7/30/19,Chlorophyll-a (ug/L),0,0.3
Oak,7/30/19,Chlorophyll-a (ug/L),0,6.1
Starve Hollow,7/30/19,Chlorophyll-a (ug/L),0,15
Lake Lemon- Reed,7/30/19,Chlorophyll-a (ug/L),0,18.9
Lake Lemon- Riddle,7/30/19,Chlorophyll-a (ug/L),0,6.9
Goose,8/5/19,Chlorophyll-a (ug/L),0,11.8
Mateer,8/5/19,Chlorophyll-a (ug/L),0,0.25
Olin,8/5/19,Chlorophyll-a (ug/L),0,0.2
Goldeneye,8/5/19,Chlorophyll-a (ug/L),0,0.38
Price,8/5/19,Chlorophyll-a (ug/L),0,1.76
Kuhn,8/6/19,Chlorophyll-a (ug/L),0,0.31
Diamond,8/6/19,Chlorophyll-a (ug/L),0,35.3
Silver,8/6/19,Chlorophyll-a (ug/L),0,11.01
North Little,8/6/19,Chlorophyll-a (ug/L),0,33.59
Knightstown,8/6/19,Chlorophyll-a (ug/L),0,17.86
Little Otter,7/1/19,Chlorophyll-a (ug/L),1,0.46
Green,7/1/19,Chlorophyll-a (ug/L),1,0
Crooked,7/1/19,Chlorophyll-a (ug/L),1,0.02
Ball,7/1/19,Chlorophyll-a (ug/L),1,22.1
North Twin,6/24/19,Chlorophyll-a (ug/L),1,0.1
Shipshewanna,6/24/19,Chlorophyll-a (ug/L),1,205
Royer,6/24/19,Chlorophyll-a (ug/L),1,34.1
Oliver,6/24/19,Chlorophyll-a (ug/L),1,0.24
Big Long,6/24/19,Chlorophyll-a (ug/L),1,0.06
Rivir,6/25/19,Chlorophyll-a (ug/L),1,39.9
Dock,6/25/19,Chlorophyll-a (ug/L),1,0.37
Bowen,6/25/19,Chlorophyll-a (ug/L),1,NA
Williams,6/25/19,Chlorophyll-a (ug/L),1,36.82
Port Mitchell,6/25/19,Chlorophyll-a (ug/L),1,14.75
"Twin Pits, East",6/26/19,Chlorophyll-a (ug/L),1,0.02
Huntingburg City,6/26/19,Chlorophyll-a (ug/L),1,7.22
Ferdinand City,6/26/19,Chlorophyll-a (ug/L),1,7.84
Huntingburg City,6/26/19,Chlorophyll-a (ug/L),1,0.07
McClish,7/1/19,Chlorophyll-a (ug/L),1,0.2
Bixler,7/2/19,Chlorophyll-a (ug/L),1,0.22
Sacrider,7/2/19,Chlorophyll-a (ug/L),1,21.78
Crane,7/2/19,Chlorophyll-a (ug/L),1,38.86
Knapp,7/2/19,Chlorophyll-a (ug/L),1,0.35
Fancher,7/8/19,Chlorophyll-a (ug/L),1,0.15
Lake George,7/8/19,Chlorophyll-a (ug/L),1,44.13
Hudson,7/8/19,Chlorophyll-a (ug/L),1,0.17
Potato Cr. (Worster),7/8/19,Chlorophyll-a (ug/L),1,3.4
Pleasant,7/8/19,Chlorophyll-a (ug/L),1,22.36
Kreighbaum,7/8/19,Chlorophyll-a (ug/L),1,0.43
Thomas,7/9/19,Chlorophyll-a (ug/L),1,0.31
Hortz,7/9/19,Chlorophyll-a (ug/L),1,0.3
Nyona,7/9/19,Chlorophyll-a (ug/L),1,41.14
South Mud,7/9/19,Chlorophyll-a (ug/L),1,5.52
Mansfield Reservoir (Harden),7/10/19,Chlorophyll-a (ug/L),1,18.28
Green Valley,7/10/19,Chlorophyll-a (ug/L),1,41.92
Stump Jumper,7/10/19,Chlorophyll-a (ug/L),1,0.02
Airline,7/10/19,Chlorophyll-a (ug/L),1,0.03
Scott,7/10/19,Chlorophyll-a (ug/L),1,0.14
Pigeon,7/15/19,Chlorophyll-a (ug/L),1,13.4
Fox,7/15/19,Chlorophyll-a (ug/L),1,0.1
James,7/15/19,Chlorophyll-a (ug/L),1,0.7
Oswego,7/15/19,Chlorophyll-a (ug/L),1,0.4
Little Chapman,7/15/19,Chlorophyll-a (ug/L),1,6.3
Center,7/16/19,Chlorophyll-a (ug/L),1,0.22
Palestine,7/16/19,Chlorophyll-a (ug/L),1,134.62
Winona,7/16/19,Chlorophyll-a (ug/L),1,10.75
St. Joseph Impoundment,7/16/19,Chlorophyll-a (ug/L),1,32.67
Clair,7/16/19,Chlorophyll-a (ug/L),1,26.48
Spectacle,7/22/19,Chlorophyll-a (ug/L),1,24.53
Hog,7/22/19,Chlorophyll-a (ug/L),1,1.8
Flat,7/22/19,Chlorophyll-a (ug/L),1,28.49
Shockapee,7/22/19,Chlorophyll-a (ug/L),1,38.76
Henderson,7/23/19,Chlorophyll-a (ug/L),1,244.42
Wolf,7/23/19,Chlorophyll-a (ug/L),1,19.46
Hammond,7/23/19,Chlorophyll-a (ug/L),1,0.38
Sellers,7/23/19,Chlorophyll-a (ug/L),1,59.12
Troy Cedar,7/23/19,Chlorophyll-a (ug/L),1,27.53
Moss,7/24/19,Chlorophyll-a (ug/L),1,3.11
Long,7/24/19,Chlorophyll-a (ug/L),1,0.34
Sullivan,7/24/19,Chlorophyll-a (ug/L),1,29.5
Duck,7/24/19,Chlorophyll-a (ug/L),1,0.2
Tree,7/24/19,Chlorophyll-a (ug/L),1,0.25
Trimble,7/29/19,Chlorophyll-a (ug/L),1,0.2
Dogwood,7/29/19,Chlorophyll-a (ug/L),1,0.2
Red Pine,7/29/19,Chlorophyll-a (ug/L),1,11.1
Lincoln,7/29/19,Chlorophyll-a (ug/L),1,0.2
Deam,7/30/19,Chlorophyll-a (ug/L),1,0.3
Oak,7/30/19,Chlorophyll-a (ug/L),1,100.1
Starve Hollow,7/30/19,Chlorophyll-a (ug/L),1,24.8
Lake Lemon- Reed,7/30/19,Chlorophyll-a (ug/L),1,18.8
Lake Lemon- Riddle,7/30/19,Chlorophyll-a (ug/L),1,9
Goose,8/5/19,Chlorophyll-a (ug/L),1,15.36
Mateer,8/5/19,Chlorophyll-a (ug/L),1,0.25
Olin,8/5/19,Chlorophyll-a (ug/L),1,0.19
Goldeneye,8/5/19,Chlorophyll-a (ug/L),1,0.41
Price,8/5/19,Chlorophyll-a (ug/L),1,3.48
Kuhn,8/6/19,Chlorophyll-a (ug/L),1,0.33
Diamond,8/6/19,Chlorophyll-a (ug/L),1,30.47
Silver,8/6/19,Chlorophyll-a (ug/L),1,10.52
North Little,8/6/19,Chlorophyll-a (ug/L),1,29.95
Knightstown,8/6/19,Chlorophyll-a (ug/L),1,35.43
Little Otter,7/1/19,Chlorophyll-a (ug/L),2,4.81
Green,7/1/19,Chlorophyll-a (ug/L),2,0
Crooked,7/1/19,Chlorophyll-a (ug/L),2,0.02
Ball,7/1/19,Chlorophyll-a (ug/L),2,11
North Twin,6/24/19,Chlorophyll-a (ug/L),2,0.1
Shipshewanna,6/24/19,Chlorophyll-a (ug/L),2,22.3
Royer,6/24/19,Chlorophyll-a (ug/L),2,35.4
Oliver,6/24/19,Chlorophyll-a (ug/L),2,0.26
Big Long,6/24/19,Chlorophyll-a (ug/L),2,0.08
Rivir,6/25/19,Chlorophyll-a (ug/L),2,39.93
Dock,6/25/19,Chlorophyll-a (ug/L),2,0.29
Bowen,6/25/19,Chlorophyll-a (ug/L),2,NA
Williams,6/25/19,Chlorophyll-a (ug/L),2,14.38
Port Mitchell,6/25/19,Chlorophyll-a (ug/L),2,6.01
"Twin Pits, East",6/26/19,Chlorophyll-a (ug/L),2,0.01
Huntingburg City,6/26/19,Chlorophyll-a (ug/L),2,20.1
Ferdinand City,6/26/19,Chlorophyll-a (ug/L),2,0.18
Huntingburg City,6/26/19,Chlorophyll-a (ug/L),2,0.1
McClish,7/1/19,Chlorophyll-a (ug/L),2,0.3
Bixler,7/2/19,Chlorophyll-a (ug/L),2,0.23
Sacrider,7/2/19,Chlorophyll-a (ug/L),2,1.37
Crane,7/2/19,Chlorophyll-a (ug/L),2,40.59
Knapp,7/2/19,Chlorophyll-a (ug/L),2,0.96
Fancher,7/8/19,Chlorophyll-a (ug/L),2,0.1
Lake George,7/8/19,Chlorophyll-a (ug/L),2,42.71
Hudson,7/8/19,Chlorophyll-a (ug/L),2,0.13
Potato Cr. (Worster),7/8/19,Chlorophyll-a (ug/L),2,7.32
Pleasant,7/8/19,Chlorophyll-a (ug/L),2,17.3
Kreighbaum,7/8/19,Chlorophyll-a (ug/L),2,0.47
Thomas,7/9/19,Chlorophyll-a (ug/L),2,0.32
Hortz,7/9/19,Chlorophyll-a (ug/L),2,0.77
Nyona,7/9/19,Chlorophyll-a (ug/L),2,23.2
South Mud,7/9/19,Chlorophyll-a (ug/L),2,2.14
Mansfield Reservoir (Harden),7/10/19,Chlorophyll-a (ug/L),2,17.19
Green Valley,7/10/19,Chlorophyll-a (ug/L),2,30.8
Stump Jumper,7/10/19,Chlorophyll-a (ug/L),2,0.04
Airline,7/10/19,Chlorophyll-a (ug/L),2,0.01
Scott,7/10/19,Chlorophyll-a (ug/L),2,0.16
Pigeon,7/15/19,Chlorophyll-a (ug/L),2,5.1
Fox,7/15/19,Chlorophyll-a (ug/L),2,0.1
James,7/15/19,Chlorophyll-a (ug/L),2,2.7
Oswego,7/15/19,Chlorophyll-a (ug/L),2,5.3
Little Chapman,7/15/19,Chlorophyll-a (ug/L),2,9.8
Center,7/16/19,Chlorophyll-a (ug/L),2,0.19
Palestine,7/16/19,Chlorophyll-a (ug/L),2,48.01
Winona,7/16/19,Chlorophyll-a (ug/L),2,13.1
St. Joseph Impoundment,7/16/19,Chlorophyll-a (ug/L),2,10.35
Clair,7/16/19,Chlorophyll-a (ug/L),2,18.94
Spectacle,7/22/19,Chlorophyll-a (ug/L),2,NA
Hog,7/22/19,Chlorophyll-a (ug/L),2,1.97
Flat,7/22/19,Chlorophyll-a (ug/L),2,21.14
Shockapee,7/22/19,Chlorophyll-a (ug/L),2,47.87
Henderson,7/23/19,Chlorophyll-a (ug/L),2,306.91
Wolf,7/23/19,Chlorophyll-a (ug/L),2,108.09
Hammond,7/23/19,Chlorophyll-a (ug/L),2,0.29
Sellers,7/23/19,Chlorophyll-a (ug/L),2,53.58
Troy Cedar,7/23/19,Chlorophyll-a (ug/L),2,22.82
Moss,7/24/19,Chlorophyll-a (ug/L),2,225.22
Long,7/24/19,Chlorophyll-a (ug/L),2,0.44
Sullivan,7/24/19,Chlorophyll-a (ug/L),2,30.44
Duck,7/24/19,Chlorophyll-a (ug/L),2,0.17
Tree,7/24/19,Chlorophyll-a (ug/L),2,0.3
Trimble,7/29/19,Chlorophyll-a (ug/L),2,0.2
Dogwood,7/29/19,Chlorophyll-a (ug/L),2,0.2
Red Pine,7/29/19,Chlorophyll-a (ug/L),2,9.7
Lincoln,7/29/19,Chlorophyll-a (ug/L),2,0.3
Deam,7/30/19,Chlorophyll-a (ug/L),2,0.3
Oak,7/30/19,Chlorophyll-a (ug/L),2,12.4
Starve Hollow,7/30/19,Chlorophyll-a (ug/L),2,24.9
Lake Lemon- Reed,7/30/19,Chlorophyll-a (ug/L),2,16.5
Lake Lemon- Riddle,7/30/19,Chlorophyll-a (ug/L),2,14
Goose,8/5/19,Chlorophyll-a (ug/L),2,13.43
Mateer,8/5/19,Chlorophyll-a (ug/L),2,0.27
Olin,8/5/19,Chlorophyll-a (ug/L),2,0.2
Goldeneye,8/5/19,Chlorophyll-a (ug/L),2,0.98
Price,8/5/19,Chlorophyll-a (ug/L),2,10.35
Kuhn,8/6/19,Chlorophyll-a (ug/L),2,0.32
Diamond,8/6/19,Chlorophyll-a (ug/L),2,18.62
Silver,8/6/19,Chlorophyll-a (ug/L),2,11.83
North Little,8/6/19,Chlorophyll-a (ug/L),2,14.72
Knightstown,8/6/19,Chlorophyll-a (ug/L),2,20.78
Little Otter,7/1/19,Chlorophyll-a (ug/L),3,3.51
Green,7/1/19,Chlorophyll-a (ug/L),3,0.2
Crooked,7/1/19,Chlorophyll-a (ug/L),3,0.03
Ball,7/1/19,Chlorophyll-a (ug/L),3,4.7
North Twin,6/24/19,Chlorophyll-a (ug/L),3,0
Shipshewanna,6/24/19,Chlorophyll-a (ug/L),3,21
Royer,6/24/19,Chlorophyll-a (ug/L),3,19.6
Oliver,6/24/19,Chlorophyll-a (ug/L),3,0.24
Big Long,6/24/19,Chlorophyll-a (ug/L),3,0.13
Rivir,6/25/19,Chlorophyll-a (ug/L),3,1.7
Dock,6/25/19,Chlorophyll-a (ug/L),3,0.27
Bowen,6/25/19,Chlorophyll-a (ug/L),3,NA
Williams,6/25/19,Chlorophyll-a (ug/L),3,1.36
Port Mitchell,6/25/19,Chlorophyll-a (ug/L),3,0.51
"Twin Pits, East",6/26/19,Chlorophyll-a (ug/L),3,0.07
Huntingburg City,6/26/19,Chlorophyll-a (ug/L),3,13.94
Ferdinand City,6/26/19,Chlorophyll-a (ug/L),3,0.42
Huntingburg City,6/26/19,Chlorophyll-a (ug/L),3,0.21
McClish,7/1/19,Chlorophyll-a (ug/L),3,17.5
Bixler,7/2/19,Chlorophyll-a (ug/L),3,0.35
Sacrider,7/2/19,Chlorophyll-a (ug/L),3,2.93
Crane,7/2/19,Chlorophyll-a (ug/L),3,11.77
Knapp,7/2/19,Chlorophyll-a (ug/L),3,26.82
Fancher,7/8/19,Chlorophyll-a (ug/L),3,0.22
Lake George,7/8/19,Chlorophyll-a (ug/L),3,NA
Hudson,7/8/19,Chlorophyll-a (ug/L),3,0.18
Potato Cr. (Worster),7/8/19,Chlorophyll-a (ug/L),3,8.29
Pleasant,7/8/19,Chlorophyll-a (ug/L),3,10.37
Kreighbaum,7/8/19,Chlorophyll-a (ug/L),3,17.32
Thomas,7/9/19,Chlorophyll-a (ug/L),3,14.73
Hortz,7/9/19,Chlorophyll-a (ug/L),3,2.45
Nyona,7/9/19,Chlorophyll-a (ug/L),3,16.16
South Mud,7/9/19,Chlorophyll-a (ug/L),3,3.76
Mansfield Reservoir (Harden),7/10/19,Chlorophyll-a (ug/L),3,13.56
Green Valley,7/10/19,Chlorophyll-a (ug/L),3,7.56
Stump Jumper,7/10/19,Chlorophyll-a (ug/L),3,14.15
Airline,7/10/19,Chlorophyll-a (ug/L),3,0.02
Scott,7/10/19,Chlorophyll-a (ug/L),3,6.98
Pigeon,7/15/19,Chlorophyll-a (ug/L),3,3.2
Fox,7/15/19,Chlorophyll-a (ug/L),3,0.1
James,7/15/19,Chlorophyll-a (ug/L),3,8
Oswego,7/15/19,Chlorophyll-a (ug/L),3,11.5
Little Chapman,7/15/19,Chlorophyll-a (ug/L),3,8.9
Center,7/16/19,Chlorophyll-a (ug/L),3,0.22
Palestine,7/16/19,Chlorophyll-a (ug/L),3,28.58
Winona,7/16/19,Chlorophyll-a (ug/L),3,15.03
St. Joseph Impoundment,7/16/19,Chlorophyll-a (ug/L),3,10.11
Clair,7/16/19,Chlorophyll-a (ug/L),3,6.57
Spectacle,7/22/19,Chlorophyll-a (ug/L),3,NA
Hog,7/22/19,Chlorophyll-a (ug/L),3,2.03
Flat,7/22/19,Chlorophyll-a (ug/L),3,14.61
Shockapee,7/22/19,Chlorophyll-a (ug/L),3,10.82
Henderson,7/23/19,Chlorophyll-a (ug/L),3,NA
Wolf,7/23/19,Chlorophyll-a (ug/L),3,55.58
Hammond,7/23/19,Chlorophyll-a (ug/L),3,0.34
Sellers,7/23/19,Chlorophyll-a (ug/L),3,8.11
Troy Cedar,7/23/19,Chlorophyll-a (ug/L),3,20.67
Moss,7/24/19,Chlorophyll-a (ug/L),3,NA
Long,7/24/19,Chlorophyll-a (ug/L),3,20.67
Sullivan,7/24/19,Chlorophyll-a (ug/L),3,27
Duck,7/24/19,Chlorophyll-a (ug/L),3,0.17
Tree,7/24/19,Chlorophyll-a (ug/L),3,0.29
Trimble,7/29/19,Chlorophyll-a (ug/L),3,NA
Dogwood,7/29/19,Chlorophyll-a (ug/L),3,0.2
Red Pine,7/29/19,Chlorophyll-a (ug/L),3,42.2
Lincoln,7/29/19,Chlorophyll-a (ug/L),3,2.3
Deam,7/30/19,Chlorophyll-a (ug/L),3,0.3
Oak,7/30/19,Chlorophyll-a (ug/L),3,NA
Starve Hollow,7/30/19,Chlorophyll-a (ug/L),3,40.2
Lake Lemon- Reed,7/30/19,Chlorophyll-a (ug/L),3,9.5
Lake Lemon- Riddle,7/30/19,Chlorophyll-a (ug/L),3,12.2
Goose,8/5/19,Chlorophyll-a (ug/L),3,16.9
Mateer,8/5/19,Chlorophyll-a (ug/L),3,0.31
Olin,8/5/19,Chlorophyll-a (ug/L),3,0.26
Goldeneye,8/5/19,Chlorophyll-a (ug/L),3,489.73
Price,8/5/19,Chlorophyll-a (ug/L),3,1.55
Kuhn,8/6/19,Chlorophyll-a (ug/L),3,0.48
Diamond,8/6/19,Chlorophyll-a (ug/L),3,19.49
Silver,8/6/19,Chlorophyll-a (ug/L),3,5.52
North Little,8/6/19,Chlorophyll-a (ug/L),3,14.91
Knightstown,8/6/19,Chlorophyll-a (ug/L),3,0.95
Little Otter,7/1/19,Chlorophyll-a (ug/L),4,0.36
Green,7/1/19,Chlorophyll-a (ug/L),4,0.2
Crooked,7/1/19,Chlorophyll-a (ug/L),4,0
Ball,7/1/19,Chlorophyll-a (ug/L),4,1.1
North Twin,6/24/19,Chlorophyll-a (ug/L),4,0
Shipshewanna,6/24/19,Chlorophyll-a (ug/L),4,NA
Royer,6/24/19,Chlorophyll-a (ug/L),4,10.9
Oliver,6/24/19,Chlorophyll-a (ug/L),4,0.23
Big Long,6/24/19,Chlorophyll-a (ug/L),4,0.41
Rivir,6/25/19,Chlorophyll-a (ug/L),4,0.29
Dock,6/25/19,Chlorophyll-a (ug/L),4,5.61
Bowen,6/25/19,Chlorophyll-a (ug/L),4,NA
Williams,6/25/19,Chlorophyll-a (ug/L),4,0.3
Port Mitchell,6/25/19,Chlorophyll-a (ug/L),4,0.34
"Twin Pits, East",6/26/19,Chlorophyll-a (ug/L),4,0.16
Huntingburg City,6/26/19,Chlorophyll-a (ug/L),4,0.46
Ferdinand City,6/26/19,Chlorophyll-a (ug/L),4,6.69
Huntingburg City,6/26/19,Chlorophyll-a (ug/L),4,0.24
McClish,7/1/19,Chlorophyll-a (ug/L),4,20.3
Bixler,7/2/19,Chlorophyll-a (ug/L),4,0.31
Sacrider,7/2/19,Chlorophyll-a (ug/L),4,6.72
Crane,7/2/19,Chlorophyll-a (ug/L),4,2.64
Knapp,7/2/19,Chlorophyll-a (ug/L),4,14.35
Fancher,7/8/19,Chlorophyll-a (ug/L),4,0.29
Lake George,7/8/19,Chlorophyll-a (ug/L),4,NA
Hudson,7/8/19,Chlorophyll-a (ug/L),4,0.24
Potato Cr. (Worster),7/8/19,Chlorophyll-a (ug/L),4,13.69
Pleasant,7/8/19,Chlorophyll-a (ug/L),4,6.39
Kreighbaum,7/8/19,Chlorophyll-a (ug/L),4,30.78
Thomas,7/9/19,Chlorophyll-a (ug/L),4,14.8
Hortz,7/9/19,Chlorophyll-a (ug/L),4,14.49
Nyona,7/9/19,Chlorophyll-a (ug/L),4,9.79
South Mud,7/9/19,Chlorophyll-a (ug/L),4,0.44
Mansfield Reservoir (Harden),7/10/19,Chlorophyll-a (ug/L),4,7.82
Green Valley,7/10/19,Chlorophyll-a (ug/L),4,0.61
Stump Jumper,7/10/19,Chlorophyll-a (ug/L),4,0.15
Airline,7/10/19,Chlorophyll-a (ug/L),4,0.03
Scott,7/10/19,Chlorophyll-a (ug/L),4,0.11
Pigeon,7/15/19,Chlorophyll-a (ug/L),4,2.2
Fox,7/15/19,Chlorophyll-a (ug/L),4,0.2
James,7/15/19,Chlorophyll-a (ug/L),4,6.3
Oswego,7/15/19,Chlorophyll-a (ug/L),4,16.8
Little Chapman,7/15/19,Chlorophyll-a (ug/L),4,1.2
Center,7/16/19,Chlorophyll-a (ug/L),4,0.29
Palestine,7/16/19,Chlorophyll-a (ug/L),4,15.04
Winona,7/16/19,Chlorophyll-a (ug/L),4,10.64
St. Joseph Impoundment,7/16/19,Chlorophyll-a (ug/L),4,NA
Clair,7/16/19,Chlorophyll-a (ug/L),4,11.29
Spectacle,7/22/19,Chlorophyll-a (ug/L),4,NA
Hog,7/22/19,Chlorophyll-a (ug/L),4,2.31
Flat,7/22/19,Chlorophyll-a (ug/L),4,47.25
Shockapee,7/22/19,Chlorophyll-a (ug/L),4,0.48
Henderson,7/23/19,Chlorophyll-a (ug/L),4,NA
Wolf,7/23/19,Chlorophyll-a (ug/L),4,28.4
Hammond,7/23/19,Chlorophyll-a (ug/L),4,0.41
Sellers,7/23/19,Chlorophyll-a (ug/L),4,7.34
Troy Cedar,7/23/19,Chlorophyll-a (ug/L),4,10.25
Moss,7/24/19,Chlorophyll-a (ug/L),4,NA
Long,7/24/19,Chlorophyll-a (ug/L),4,28.99
Sullivan,7/24/19,Chlorophyll-a (ug/L),4,22.08
Duck,7/24/19,Chlorophyll-a (ug/L),4,0.22
Tree,7/24/19,Chlorophyll-a (ug/L),4,13.72
Trimble,7/29/19,Chlorophyll-a (ug/L),4,NA
Dogwood,7/29/19,Chlorophyll-a (ug/L),4,0.3
Red Pine,7/29/19,Chlorophyll-a (ug/L),4,13.2
Lincoln,7/29/19,Chlorophyll-a (ug/L),4,4.2
Deam,7/30/19,Chlorophyll-a (ug/L),4,2.4
Oak,7/30/19,Chlorophyll-a (ug/L),4,NA
Starve Hollow,7/30/19,Chlorophyll-a (ug/L),4,22.5
Lake Lemon- Reed,7/30/19,Chlorophyll-a (ug/L),4,NA
Lake Lemon- Riddle,7/30/19,Chlorophyll-a (ug/L),4,7
Goose,8/5/19,Chlorophyll-a (ug/L),4,12
Mateer,8/5/19,Chlorophyll-a (ug/L),4,0.32
Olin,8/5/19,Chlorophyll-a (ug/L),4,0.21
Goldeneye,8/5/19,Chlorophyll-a (ug/L),4,42.05
Price,8/5/19,Chlorophyll-a (ug/L),4,0.41
Kuhn,8/6/19,Chlorophyll-a (ug/L),4,0.45
Diamond,8/6/19,Chlorophyll-a (ug/L),4,6.32
Silver,8/6/19,Chlorophyll-a (ug/L),4,20.52
North Little,8/6/19,Chlorophyll-a (ug/L),4,6.64
Knightstown,8/6/19,Chlorophyll-a (ug/L),4,0.53
Little Otter,7/1/19,Chlorophyll-a (ug/L),5,0.3
Green,7/1/19,Chlorophyll-a (ug/L),5,0.1
Crooked,7/1/19,Chlorophyll-a (ug/L),5,0.02
Ball,7/1/19,Chlorophyll-a (ug/L),5,0.7
North Twin,6/24/19,Chlorophyll-a (ug/L),5,0.1
Shipshewanna,6/24/19,Chlorophyll-a (ug/L),5,NA
Royer,6/24/19,Chlorophyll-a (ug/L),5,7.7
Oliver,6/24/19,Chlorophyll-a (ug/L),5,0.24
Big Long,6/24/19,Chlorophyll-a (ug/L),5,0.37
Rivir,6/25/19,Chlorophyll-a (ug/L),5,0.31
Dock,6/25/19,Chlorophyll-a (ug/L),5,6.59
Bowen,6/25/19,Chlorophyll-a (ug/L),5,NA
Williams,6/25/19,Chlorophyll-a (ug/L),5,0.33
Port Mitchell,6/25/19,Chlorophyll-a (ug/L),5,0.31
"Twin Pits, East",6/26/19,Chlorophyll-a (ug/L),5,NA
Huntingburg City,6/26/19,Chlorophyll-a (ug/L),5,0.33
Ferdinand City,6/26/19,Chlorophyll-a (ug/L),5,0.39
Huntingburg City,6/26/19,Chlorophyll-a (ug/L),5,0.29
McClish,7/1/19,Chlorophyll-a (ug/L),5,15.5
Bixler,7/2/19,Chlorophyll-a (ug/L),5,0.22
Sacrider,7/2/19,Chlorophyll-a (ug/L),5,0.45
Crane,7/2/19,Chlorophyll-a (ug/L),5,1.54
Knapp,7/2/19,Chlorophyll-a (ug/L),5,3.35
Fancher,7/8/19,Chlorophyll-a (ug/L),5,10.57
