sample_id,lake_name,year,date_sampled,parameter,sample_location,value
2390,Webster,2015,28-Jul-15,Surface Area (ha),Epilimnion,313.24
2500,Rothenberger,2016,2-Aug-16,Surface Area (ha),Epilimnion,2.43
2522,Hunter,2016,15-Aug-16,Surface Area (ha),Epilimnion,40.07
2564,West,2017,12-Jul-17,Surface Area (ha),Epilimnion,39.2
2567,Long,2017,17-Jul-17,Surface Area (ha),Epilimnion,26.31
2568,Loomis,2017,17-Jul-17,Surface Area (ha),Epilimnion,25.09
2587,Jimmerson,2017,24-Jul-17,Surface Area (ha),Epilimnion,114.53
2678,Pleasant,2018,16-Jul-18,Surface Area (ha),Epilimnion,171.59
2679,Syl-Van,2018,16-Jul-18,Surface Area (ha),Epilimnion,9.71
2698,University,2018,25-Jul-18,Surface Area (ha),Epilimnion,3.24
2365,Hale,2015,15-Jul-15,Surface Area (ha),Epilimnion,6.07
2464,Holem,2016,12-Jul-16,Surface Area (ha),Epilimnion,12.14
2489,Knapp,2016,26-Jul-16,Surface Area (ha),Epilimnion,35.61
2509,Hamiliton,2016,8-Aug-16,Surface Area (ha),Epilimnion,324.57
2542,Mongo Mill Pond,2017,21-Jun-17,Surface Area (ha),Epilimnion,29.54
2632,George,2018,25-Jun-18,Surface Area (ha),Epilimnion,205.99
2658,Bobcat,2018,3-Jul-18,Surface Area (ha),Epilimnion,2
2689,Big Long,2018,23-Jul-18,Surface Area (ha),Epilimnion,148.12
2717,Redbud,2018,7-Aug-18,Surface Area (ha),Epilimnion,1.62
2718,Locust,2018,7-Aug-18,Surface Area (ha),Epilimnion,2.83
2353,Hog,2015,14-Jul-15,Surface Area (ha),Epilimnion,23.88
2361,Skunk,2015,15-Jul-15,Surface Area (ha),Epilimnion,0.3
2377,Sycamore,2015,22-Jul-15,Surface Area (ha),Epilimnion,2.83
2578,Schlamm,2017,17-Jul-17,Surface Area (ha),Epilimnion,7.69
2681,Latta,2018,16-Jul-18,Surface Area (ha),Epilimnion,17
2690,Dallas,2018,23-Jul-18,Surface Area (ha),Epilimnion,114.53
2335,Atwood,2015,29-Jun-15,Surface Area (ha),Epilimnion,7.28
2379,Trimble,2015,22-Jul-15,Surface Area (ha),Epilimnion,3.64
2446,Tippecanoe,2016,28-Jun-16,Surface Area (ha),Epilimnion,286.12
2473,Elk Creek #9,2016,19-Jul-16,Surface Area (ha),Epilimnion,19.43
2539,Atwood,2017,19-Jun-17,Surface Area (ha),Epilimnion,68.8
2574,Bowen,2017,17-Jul-17,Surface Area (ha),Epilimnion,12.14
2588,Snow,2017,24-Jul-17,Surface Area (ha),Epilimnion,125.46
2643,Silver,2018,25-Jun-18,Surface Area (ha),Epilimnion,96.32
2659,Skunk,2018,3-Jul-18,Surface Area (ha),Epilimnion,0.3
2700,Clear,2018,26-Jul-18,Surface Area (ha),Epilimnion,1.21
2716,Spencer,2018,6-Aug-18,Surface Area (ha),Epilimnion,2.43
2356,Long,2015,13-Jul-15,Surface Area (ha),Epilimnion,26.31
2382,Center,2015,28-Jul-15,Surface Area (ha),Epilimnion,48.56
2458,Long,2016,11-Jul-16,Surface Area (ha),Epilimnion,26.31
2485,Fletcher,2016,25-Jul-16,Surface Area (ha),Epilimnion,18.21
2499,Goldeneye,2016,1-Aug-16,Surface Area (ha),Epilimnion,8.09
2604,Adams,2017,31-Jul-17,Surface Area (ha),Epilimnion,118.58
2607,Kiser,2017,7-Aug-17,Surface Area (ha),Epilimnion,3.64
2634,Big Otter,2018,25-Jun-18,Surface Area (ha),Epilimnion,27.92
2640,Gordy,2018,26-Jun-18,Surface Area (ha),Epilimnion,12.55
2694,Big Chapman,2018,24-Jul-18,Surface Area (ha),Epilimnion,167.55
2332,Oliver,2015,29-Jun-15,Surface Area (ha),Epilimnion,150.14
2442,Dallas,2016,27-Jun-16,Surface Area (ha),Epilimnion,114.53
2454,Still,2016,5-Jul-16,Surface Area (ha),Epilimnion,12.14
2505,Bixler,2016,2-Aug-16,Surface Area (ha),Epilimnion,47.35
2547,Engle,2017,26-Jun-17,Surface Area (ha),Epilimnion,19.43
2553,Tipsaw,2017,5-Jul-17,Surface Area (ha),Epilimnion,574
2642,Loon,2018,25-Jun-18,Surface Area (ha),Epilimnion,55.85
2687,Brokesha,2018,23-Jul-18,Surface Area (ha),Epilimnion,14.57
2693,Tippecanoe,2018,24-Jul-18,Surface Area (ha),Epilimnion,286.12
2704,Fry,2018,26-Jul-18,Surface Area (ha),Epilimnion,1.62
2331,Otter,2015,30-Jun-15,Surface Area (ha),Epilimnion,47.75
2370,Marsh,2015,20-Jul-15,Surface Area (ha),Epilimnion,22.66
2375,Redbud,2015,22-Jul-15,Surface Area (ha),Epilimnion,1.62
2449,Upper Long,2016,6-Jul-16,Surface Area (ha),Epilimnion,34.8
2514,Monroe (Lower),2016,10-Aug-16,Surface Area (ha),Epilimnion,4353.75
2524,Simonton,2016,15-Aug-16,Surface Area (ha),Epilimnion,114.13
2544,Henry,2017,21-Jun-17,Surface Area (ha),Epilimnion,8.09
2561,Chapel Pit,2017,11-Jul-17,Surface Area (ha),Epilimnion,1.21
2589,Pleasant,2017,24-Jul-17,Surface Area (ha),Epilimnion,171.59
2601,Otter,2017,31-Jul-17,Surface Area (ha),Epilimnion,47.75
2608,Big Chapman,2017,7-Aug-17,Surface Area (ha),Epilimnion,167.55
2611,Mill Pond,2017,7-Aug-17,Surface Area (ha),Epilimnion,52.2
2337,Big Turkey,2015,29-Jun-15,Surface Area (ha),Epilimnion,182.12
2367,Goldeneye,2015,21-Jul-15,Surface Area (ha),Epilimnion,8.09
2483,Skunk,2016,27-Jul-16,Surface Area (ha),Epilimnion,0.3
2501,Nauvoo,2016,2-Aug-16,Surface Area (ha),Epilimnion,15.38
2521,Diamond,2016,16-Aug-16,Surface Area (ha),Epilimnion,42.49
2540,Westler,2017,19-Jun-17,Surface Area (ha),Epilimnion,35.61
2613,Hartz,2017,8-Aug-17,Surface Area (ha),Epilimnion,11.33
2615,Mansfield Reservoir (Hardin),2017,8-Aug-17,Surface Area (ha),Epilimnion,833.68
2672,Canada,2018,10-Jul-18,Surface Area (ha),Epilimnion,4.05
2684,Upper Long,2018,17-Jul-18,Surface Area (ha),Epilimnion,34.8
2691,Syracuse,2018,23-Jul-18,Surface Area (ha),Epilimnion,228.25
2715,Stump Jumper,2018,31-Jul-18,Surface Area (ha),Epilimnion,2.39
2345,Loon,2015,6-Jul-15,Surface Area (ha),Epilimnion,55.85
2351,Fish (Lower),2015,14-Jul-15,Surface Area (ha),Epilimnion,54.23
2357,Clear (LaPorte),2015,13-Jul-15,Surface Area (ha),Epilimnion,42.9
2364,Hackberry,2015,15-Jul-15,Surface Area (ha),Epilimnion,2.02
2579,Starve Hollow,2017,17-Jul-17,Surface Area (ha),Epilimnion,58.68
2638,Engle,2018,26-Jun-18,Surface Area (ha),Epilimnion,19.43
2649,Knapp,2018,26-Jun-18,Surface Area (ha),Epilimnion,35.61
2657,Fox,2018,3-Jul-18,Surface Area (ha),Epilimnion,NA
2347,Big Otter,2015,7-Jul-15,Surface Area (ha),Epilimnion,27.92
2448,Hoffman,2016,6-Jul-16,Surface Area (ha),Epilimnion,75.68
2465,Lower Fry,2016,20-Jul-16,Surface Area (ha),Epilimnion,1.62
2507,Story (Upper),2016,8-Aug-16,Surface Area (ha),Epilimnion,NA
2586,Trout,2017,19-Jul-17,Surface Area (ha),Epilimnion,2.02
2620,Brookville,2017,15-Aug-17,Surface Area (ha),Epilimnion,2128.72
2635,Little Otter,2018,25-Jun-18,Surface Area (ha),Epilimnion,13.76
2674,Loomis,2018,10-Jul-18,Surface Area (ha),Epilimnion,25.09
2349,Hartz,2015,14-Jul-15,Surface Area (ha),Epilimnion,11.33
2383,James,2015,28-Jul-15,Surface Area (ha),Epilimnion,108.05
2543,Big Turkey,2017,21-Jun-17,Surface Area (ha),Epilimnion,182.12
