sample_id,lake_name,lake_type,ecoregion_3,year,date_sampled,parameter,value
2583,Bischoff Res.,Impoundment,Eastern Corn Belt Plain,2017,17-Jul-17,Total Plankton (cells/mL),180677
2585,Woods (Big Blue #3),Impoundment,Eastern Corn Belt Plain,2017,17-Jul-17,Total Plankton (cells/mL),44762
2590,Nasby Mill Pond,Impoundment,MI-IN Till Plain,2017,24-Jul-17,Total Plankton (cells/mL),2412
2669,Potato Cr. (Worster),Impoundment,MI-IN Till Plain,2018,9-Jul-18,Total Plankton (cells/mL),0
2695,Little Chapman,Natural Lake,MI-IN Till Plain,2018,24-Jul-18,Total Plankton (cells/mL),0
2706,Starve Hollow,Impoundment,Eastern Corn Belt Plain,2018,30-Jul-18,Total Plankton (cells/mL),0
2709,Middlefork Res.,Impoundment,Eastern Corn Belt Plain,2018,30-Jul-18,Total Plankton (cells/mL),0
2376,Red Pine,Surface Mine Lake,Interior River Lowland,2015,22-Jul-15,Total Plankton (cells/mL),7608
2419,Cagles Mill (Cataract),Impoundment,Interior River,2015,11-Aug-15,Total Plankton (cells/mL),143315
2471,Brush Creek Reservoir,Impoundment,Eastern Corn Belt Plain,2016,19-Jul-16,Total Plankton (cells/mL),211273
2486,Shaffer,Impoundment,MI-IN Till Plain,2016,25-Jul-16,Total Plankton (cells/mL),5495
2487,Freeman,Impoundment,Eastern Corn Belt Plain,2016,25-Jul-16,Total Plankton (cells/mL),22084
2373,Ridinger,Natural Lake,MI-IN Till Plain,2015,21-Jul-15,Total Plankton (cells/mL),247737
2387,St. Joseph Reservoir,Impoundment,Eastern Corn Belt Plain,2015,27-Jul-15,Total Plankton (cells/mL),206917
2418,Mansfield Reservoir (Hardin),Impoundment,Interior River Lowland,2015,11-Aug-15,Total Plankton (cells/mL),89785
2457,Wolf,Natural Lake,Central Corn Belt Plain,2016,11-Jul-16,Total Plankton (cells/mL),69590
2519,Crane,Natural Lake,MI-IN Till Plain,2016,16-Aug-16,Total Plankton (cells/mL),39554
2546,Fish,Natural Lake,MI-IN Till Plain,2017,26-Jun-17,Total Plankton (cells/mL),229890
2591,Waldron,Natural Lake,MI-IN Till Plain,2017,24-Jul-17,Total Plankton (cells/mL),28643
2594,Loon,Natural Lake,MI-IN Till Plain,2017,25-Jul-17,Total Plankton (cells/mL),11002
2650,Baugher,Natural Lake,MI-IN Till Plain,2018,26-Jun-18,Total Plankton (cells/mL),0
2703,Big Fry,Surface Mine Lake,Interior River Lowland,2018,26-Jul-18,Total Plankton (cells/mL),0
2713,Cagles Mill (Cataract),Impoundment,Interior River,2018,31-Jul-18,Total Plankton (cells/mL),0
2584,Manlove,Impoundment,Eastern Corn Belt Plain,2017,17-Jul-17,Total Plankton (cells/mL),70297
2569,Riddles,Natural Lake,MI-IN Till Plain,2017,17-Jul-17,Total Plankton (cells/mL),80743
2697,Little Pike,Natural Lake,MI-IN Till Plain,2018,24-Jul-18,Total Plankton (cells/mL),1
2510,Lemon,Impoundment,Interior River,2016,10-Aug-16,Total Plankton (cells/mL),162402
2633,Fish,Natural Lake,MI-IN Till Plain,2018,25-Jun-18,Total Plankton (cells/mL),1
2696,Pike,Natural Lake,MI-IN Till Plain,2018,24-Jul-18,Total Plankton (cells/mL),0
2330,Port Mitchell,Natural Lake,MI-IN Till Plain,2015,30-Jun-15,Total Plankton (cells/mL),58063
2381,Carr,Natural Lake,MI-IN Till Plain,2015,28-Jul-15,Total Plankton (cells/mL),140633
2447,McClures,Natural Lake,MI-IN Till Plain,2016,28-Jun-16,Total Plankton (cells/mL),453883
2503,Palestine,Impoundment,MI-IN Till Plain,2016,1-Aug-16,Total Plankton (cells/mL),NA
2556,Dale Reservoir,Impoundment,Interior River Lowland,2017,10-Jul-17,Total Plankton (cells/mL),203921
2668,Riddles,Natural Lake,MI-IN Till Plain,2018,9-Jul-18,Total Plankton (cells/mL),0
2702,Impoundment No. 26,Surface Mine Lake,Interior River Lowland,2018,26-Jul-18,Total Plankton (cells/mL),1
2342,Shipshewana,Natural Lake,MI-IN Till Plain,2015,6-Jul-15,Total Plankton (cells/mL),71058
2371,Mud (Chain of Lakes),Natural Lake,MI-IN Till Plain,2015,21-Jul-15,Total Plankton (cells/mL),43083
2415,King,Natural Lake,MI-IN Till Plain,2015,10-Aug-15,Total Plankton (cells/mL),12444
2445,Muncie,Natural Lake,MI-IN Till Plain,2016,28-Jun-16,Total Plankton (cells/mL),31297
2459,George (Hobart),Impoundment,Central Corn Belt Plain,2016,11-Jul-16,Total Plankton (cells/mL),25982
2481,Green Valley,Impoundment,Central Corn Belt Plain,2016,27-Jul-16,Total Plankton (cells/mL),138609
2497,Sellers,Natural Lake,MI-IN Till Plain,2016,1-Aug-16,Total Plankton (cells/mL),25054
2675,J.C. Murphy,Impoundment,Central Corn Belt Plain,2018,10-Jul-18,Total Plankton (cells/mL),0
2460,Cedar,Natural Lake,Central Corn Belt Plain,2016,11-Jul-16,Total Plankton (cells/mL),684089
2484,Bass,Natural Lake,MI-IN Till Plain,2016,25-Jul-16,Total Plankton (cells/mL),286467
2493,Cagles Mill (Cataract),Impoundment,Interior River,2016,3-Aug-16,Total Plankton (cells/mL),167413
2595,Robinson,Natural Lake,MI-IN Till Plain,2017,25-Jul-17,Total Plankton (cells/mL),26726
2637,Steinbarger,Natural Lake,MI-IN Till Plain,2018,26-Jun-18,Total Plankton (cells/mL),0
2480,Sullivan,Impoundment,Interior River Lowland,2016,27-Jul-16,Total Plankton (cells/mL),257242
2686,Bowen,Natural Lake,MI-IN Till Plain,2018,17-Jul-18,Total Plankton (cells/mL),0
2707,Versailles,Impoundment,Eastern Corn Belt Plain,2018,30-Jul-18,Total Plankton (cells/mL),0
2339,Loon,Natural Lake,MI-IN Till Plain,2015,7-Jul-15,Total Plankton (cells/mL),NA
2656,Ferdinand City New,Impoundment,Interior River,2018,2-Jul-18,Total Plankton (cells/mL),0
2708,Woods (Big Blue #3),Impoundment,Eastern Corn Belt Plain,2018,30-Jul-18,Total Plankton (cells/mL),0
2338,Larwill,Natural Lake,MI-IN Till Plain,2015,7-Jul-15,Total Plankton (cells/mL),41958
2417,Waveland,Impoundment,Eastern Corn Belt Plain,2015,11-Aug-15,Total Plankton (cells/mL),670285
2496,Molenkramer Reservoir,Impoundment,Eastern Corn Belt Plain,2016,3-Aug-16,Total Plankton (cells/mL),823639
2612,Bass,Natural Lake,MI-IN Till Plain,2017,8-Aug-17,Total Plankton (cells/mL),133884
2671,Tamarack,Natural Lake,MI-IN Till Plain,2018,10-Jul-18,Total Plankton (cells/mL),5
2340,Little Bause,Natural Lake,MI-IN Till Plain,2015,7-Jul-15,Total Plankton (cells/mL),5
2358,Cedar,Natural Lake,Central Corn Belt Plain,2015,13-Jul-15,Total Plankton (cells/mL),653880
2712,Waveland,Impoundment,Eastern Corn Belt Plain,2018,31-Jul-18,Total Plankton (cells/mL),0
2380,Willow,Surface Mine Lake,Interior River Lowland,2015,22-Jul-15,Total Plankton (cells/mL),10704
2403,Scales,Surface Mine Lake,Interior River Lowland,2015,3-Aug-15,Total Plankton (cells/mL),63305
2404,Schlamm,Impoundment,Eastern Corn Belt Plain,2015,3-Aug-15,Total Plankton (cells/mL),31179
2405,John Hay,Impoundment,Interior River,2015,3-Aug-15,Total Plankton (cells/mL),75483
2406,Starve Hollow,Impoundment,Eastern Corn Belt Plain,2015,3-Aug-15,Total Plankton (cells/mL),39904
2407,Brush Creek Reservoir,Impoundment,Eastern Corn Belt Plain,2015,3-Aug-15,Total Plankton (cells/mL),583400
2408,Huntingburg City,Impoundment,Interior River Lowland,2015,4-Aug-15,Total Plankton (cells/mL),260748
2409,White Oak #2,NA,Interior River Lowland,2015,4-Aug-15,Total Plankton (cells/mL),17288
2410,Crystal,Surface Mine Lake,Interior River Lowland,2015,4-Aug-15,Total Plankton (cells/mL),213647
2411,Kickapoo,Impoundment,Interior River Lowland,2015,4-Aug-15,Total Plankton (cells/mL),6076
2412,Shakamak,Impoundment,Interior River Lowland,2015,4-Aug-15,Total Plankton (cells/mL),31846
2435,North Twin,Natural Lake,MI-IN Till Plain,2016,15-Jun-16,Total Plankton (cells/mL),NA
2436,North Twin,Natural Lake,MI-IN Till Plain,2016,15-Jun-16,Total Plankton (cells/mL),NA
2437,North Twin,Natural Lake,MI-IN Till Plain,2016,15-Jun-16,Total Plankton (cells/mL),NA
2663,Fry,Surface Mine Lake,Interior River Lowland,2018,3-Jul-18,Total Plankton (cells/mL),NA
2453,South Twin,Natural Lake,MI-IN Till Plain,2016,5-Jul-16,Total Plankton (cells/mL),NA
2477,Ferdinand City New,Impoundment,Interior River,2016,18-Jul-16,Total Plankton (cells/mL),42927
2548,Simonton,Natural Lake,MI-IN Till Plain,2017,28-Jun-17,Total Plankton (cells/mL),11458
2549,Hunter,Natural Lake,MI-IN Till Plain,2017,28-Jun-17,Total Plankton (cells/mL),78138
2550,Fish,Natural Lake,MI-IN Till Plain,2017,28-Jun-17,Total Plankton (cells/mL),401
2551,Banning,Natural Lake,MI-IN Till Plain,2017,28-Jun-17,Total Plankton (cells/mL),8005
2552,Little Barbee,Natural Lake,MI-IN Till Plain,2017,28-Jun-17,Total Plankton (cells/mL),13748
2558,Benefiel,Surface Mine Lake,Interior River Lowland,2017,11-Jul-17,Total Plankton (cells/mL),3744
2673,Mink,Natural Lake,Central Corn Belt Plain,2018,10-Jul-18,Total Plankton (cells/mL),NA
2651,Robinson,Natural Lake,MI-IN Till Plain,2018,26-Jun-18,Total Plankton (cells/mL),0
2616,Airline,Surface Mine Lake,Interior River Lowland,2017,11-Jul-17,Total Plankton (NU/L),563693
2467,Gambill,Surface Mine Lake,Interior River Lowland,2016,20-Jul-16,Total Plankton (NU/L),833643
2570,Eagle,Natural Lake,MI-IN Till Plain,2017,17-Jul-17,Total Plankton (NU/L),598421
2559,Hale,Surface Mine Lake,Interior River Lowland,2017,10-Jul-17,Total Plankton (NU/L),334044
2576,Deam,Impoundment,Interior River,2017,17-Jul-17,Total Plankton (NU/L),486066
2439,Gage,Natural Lake,MI-IN Till Plain,2016,27-Jun-16,Total Plankton (NU/L),748743
2526,Nasby Mill Pond,Impoundment,MI-IN Till Plain,2016,15-Aug-16,Total Plankton (NU/L),221866
2555,Chrisney,Impoundment,Interior River Lowland,2017,10-Jul-17,Total Plankton (NU/L),610641
2571,Price,Natural Lake,MI-IN Till Plain,2017,17-Jul-17,Total Plankton (NU/L),501866
2311,Griffy,Impoundment,Interior River,2015,30-Apr-15,Total Plankton (NU/L),375635
2363,Gambill,Surface Mine Lake,Interior River Lowland,2015,15-Jul-15,Total Plankton (NU/L),1254817
2402,Boones Pond,Surface Mine Lake,Eastern Corn Belt Plain,2015,5-Aug-15,Total Plankton (NU/L),2095775
2525,George,Natural Lake,MI-IN Till Plain,2016,15-Aug-16,Total Plankton (NU/L),404865
2603,McClish,Natural Lake,MI-IN Till Plain,2017,31-Jul-17,Total Plankton (NU/L),880152
2468,Mayfield,Surface Mine Lake,Interior River Lowland,2016,20-Jul-16,Total Plankton (NU/L),80185
2475,Celina,Impoundment,Interior River,2016,18-Jul-16,Total Plankton (NU/L),508274
2565,Hammond,Surface Mine Lake,Interior River Lowland,2017,12-Jul-17,Total Plankton (NU/L),240588
2346,Green,Natural Lake,MI-IN Till Plain,2015,6-Jul-15,Total Plankton (NU/L),913947
2362,Turtle,Surface Mine Lake,Interior River Lowland,2015,15-Jul-15,Total Plankton (NU/L),1773471
2378,Todd,Surface Mine Lake,Interior River Lowland,2015,22-Jul-15,Total Plankton (NU/L),74083
2388,Summit,Impoundment,Eastern Corn Belt Plain,2015,27-Jul-15,Total Plankton (NU/L),340902
2560,Mayfield,Surface Mine Lake,Interior River Lowland,2017,11-Jul-17,Total Plankton (NU/L),481691
2621,Griffy,Impoundment,Interior River,2017,15-Aug-17,Total Plankton (NU/L),834650
2653,"Twin Pitts, East",Surface Mine Lake,Interior River Lowland,2018,2-Jul-18,Total Plankton (NU/L),426
2676,Gooseneck,Natural Lake,MI-IN Till Plain,2018,16-Jul-18,Total Plankton (NU/L),123
2677,"Failing ""Gentian""",Natural Lake,MI-IN Till Plain,2018,16-Jul-18,Total Plankton (NU/L),170
2705,Scott,Surface Mine Lake,Interior River Lowland,2018,26-Jul-18,Total Plankton (NU/L),17
2504,Pretty,Natural Lake,MI-IN Till Plain,2016,2-Aug-16,Total Plankton (NU/L),1497962
2554,John Hay,Impoundment,Interior River,2017,10-Jul-17,Total Plankton (NU/L),1472546
2557,Patoka Reservoir,Impoundment,Interior River,2017,10-Jul-17,Total Plankton (NU/L),1300474
2596,Clair,Surface Mine Lake,Eastern Corn Belt Plain,2017,25-Jul-17,Total Plankton (NU/L),2574498
2600,Crooked,Natural Lake,MI-IN Till Plain,2017,31-Jul-17,Total Plankton (NU/L),715467
2660,Bass,Surface Mine Lake,Interior River Lowland,2018,3-Jul-18,Total Plankton (NU/L),363
2667,Lawrence,Natural Lake,MI-IN Till Plain,2018,9-Jul-18,Total Plankton (NU/L),69
2374,Goodman,Surface Mine Lake,Interior River Lowland,2015,22-Jul-15,Total Plankton (NU/L),1158040
2469,Redbud,Surface Mine Lake,Interior River Lowland,2016,20-Jul-16,Total Plankton (NU/L),1747691
2482,Star,Surface Mine Lake,Interior River Lowland,2016,27-Jul-16,Total Plankton (NU/L),1890483
2566,White Pine,Surface Mine Lake,Interior River Lowland,2017,12-Jul-17,Total Plankton (NU/L),422954
2359,T Lake,Surface Mine Lake,Interior River Lowland,2015,15-Jul-15,Total Plankton (NU/L),1890460
2438,Silver,Natural Lake,MI-IN Till Plain,2016,27-Jun-16,Total Plankton (NU/L),1678698
2470,Hackberry,Surface Mine Lake,Interior River Lowland,2016,20-Jul-16,Total Plankton (NU/L),1143251
2478,Chrisney,Impoundment,Interior River Lowland,2016,18-Jul-16,Total Plankton (NU/L),2593740
2479,Scheister,Surface Mine Lake,Interior River Lowland,2016,27-Jul-16,Total Plankton (NU/L),1187864
2491,Kuhn,Natural Lake,MI-IN Till Plain,2016,26-Jul-16,Total Plankton (NU/L),1123578
2502,South Twin,Natural Lake,MI-IN Till Plain,2016,2-Aug-16,Total Plankton (NU/L),NA
2593,Crooked,Natural Lake,MI-IN Till Plain,2017,25-Jul-17,Total Plankton (NU/L),471175
2360,Bobcat,Surface Mine Lake,Interior River Lowland,2015,15-Jul-15,Total Plankton (NU/L),853516
2366,Bass,Surface Mine Lake,Interior River Lowland,2015,15-Jul-15,Total Plankton (NU/L),1493947
2389,Wawasee,Natural Lake,MI-IN Till Plain,2015,28-Jul-15,Total Plankton (NU/L),2202541
2443,Atwood,Natural Lake,MI-IN Till Plain,2016,28-Jun-16,Total Plankton (NU/L),2059673
2452,South Twin,Natural Lake,MI-IN Till Plain,2016,5-Jul-16,Total Plankton (NU/L),1332318
2466,Chapel pit,Surface Mine Lake,Interior River Lowland,2016,20-Jul-16,Total Plankton (NU/L),1270967
2474,Springs Valley (Tucker),Impoundment,Interior River,2016,18-Jul-16,Total Plankton (NU/L),339664
2516,North Twin,Natural Lake,MI-IN Till Plain,2016,13-Aug-16,Total Plankton (NU/L),896116
2563,Horshoe,Surface Mine Lake,Interior River Lowland,2017,12-Jul-17,Total Plankton (NU/L),604476
2598,Cedar,Natural Lake,MI-IN Till Plain,2017,31-Jul-17,Total Plankton (NU/L),1110255
2599,Barton,Natural Lake,MI-IN Till Plain,2017,31-Jul-17,Total Plankton (NU/L),924410
2648,Little Bause,Natural Lake,MI-IN Till Plain,2018,26-Jun-18,Total Plankton (NU/L),409
2670,Bass (N. Chain),Natural Lake,MI-IN Till Plain,2018,9-Jul-18,Total Plankton (NU/L),130
2394,Yellowwood,Impoundment,Interior River,2015,29-Jul-15,Total Plankton (NU/L),138467
2455,Lake of the Woods,Natural Lake,MI-IN Till Plain,2016,5-Jul-16,Total Plankton (NU/L),920319
2463,Maxinkuckee,Natural Lake,MI-IN Till Plain,2016,12-Jul-16,Total Plankton (NU/L),995765
2572,Goldeneye,Impoundment,MI-IN Till Plain,2017,17-Jul-17,Total Plankton (NU/L),1076302
2606,Upper Long,Natural Lake,MI-IN Till Plain,2017,31-Jul-17,Total Plankton (NU/L),2601197
2610,Lawrence,Natural Lake,MI-IN Till Plain,2017,7-Aug-17,Total Plankton (NU/L),1055278
2646,McClish,Natural Lake,MI-IN Till Plain,2018,25-Jun-18,Total Plankton (NU/L),247
2688,Pretty,Natural Lake,MI-IN Till Plain,2018,23-Jul-18,Total Plankton (NU/L),23
2344,Blackman,Natural Lake,MI-IN Till Plain,2015,6-Jul-15,Total Plankton (NU/L),3165238
2368,Goose,Natural Lake,MI-IN Till Plain,2015,21-Jul-15,Total Plankton (NU/L),1025551
2369,Failing,Natural Lake,MI-IN Till Plain,2015,20-Jul-15,Total Plankton (NU/L),1166114
2440,Beaver Dam,Natural Lake,MI-IN Till Plain,2016,27-Jun-16,Total Plankton (NU/L),901621
2506,Story (Lower),Natural Lake,MI-IN Till Plain,2016,8-Aug-16,Total Plankton (NU/L),909703
2605,Latta,Natural Lake,MI-IN Till Plain,2017,31-Jul-17,Total Plankton (NU/L),2259232
2654,"Twin Pitts, West",Surface Mine Lake,Interior River Lowland,2018,2-Jul-18,Total Plankton (NU/L),2185
2682,Goshen Dam Pond,Impoundment,MI-IN Till Plain,2018,17-Jul-18,Total Plankton (NU/L),74
2701,Chapel Pit,Surface Mine Lake,Interior River Lowland,2018,26-Jul-18,Total Plankton (NU/L),255
2714,Scheister,Surface Mine Lake,Interior River Lowland,2018,31-Jul-18,Total Plankton (NU/L),29
2350,Bass (N.Chain),Natural Lake,MI-IN Till Plain,2015,14-Jul-15,Total Plankton (NU/L),3174260
2385,Oswego,Natural Lake,MI-IN Till Plain,2015,28-Jul-15,Total Plankton (NU/L),3219129
2390,Webster,Natural Lake,MI-IN Till Plain,2015,28-Jul-15,Total Plankton (NU/L),2577078
2500,Rothenberger,Natural Lake,MI-IN Till Plain,2016,2-Aug-16,Total Plankton (NU/L),2381756
2522,Hunter,Natural Lake,MI-IN Till Plain,2016,15-Aug-16,Total Plankton (NU/L),769194
2564,West,Surface Mine Lake,Interior River Lowland,2017,12-Jul-17,Total Plankton (NU/L),8108130
2567,Long,Natural Lake,Central Corn Belt Plain,2017,17-Jul-17,Total Plankton (NU/L),1077148
2568,Loomis,Natural Lake,Central Corn Belt Plain,2017,17-Jul-17,Total Plankton (NU/L),906324
2587,Jimmerson,Natural Lake,MI-IN Till Plain,2017,24-Jul-17,Total Plankton (NU/L),1367340
2678,Pleasant,Natural Lake,MI-IN Till Plain,2018,16-Jul-18,Total Plankton (NU/L),207
2679,Syl-Van,Natural Lake,MI-IN Till Plain,2018,16-Jul-18,Total Plankton (NU/L),102
2698,University,Impoundment,Interior River,2018,25-Jul-18,Total Plankton (NU/L),129
2365,Hale,Surface Mine Lake,Interior River Lowland,2015,15-Jul-15,Total Plankton (NU/L),1148615
2464,Holem,Natural Lake,MI-IN Till Plain,2016,12-Jul-16,Total Plankton (NU/L),4119916
2489,Knapp,Natural Lake,MI-IN Till Plain,2016,26-Jul-16,Total Plankton (NU/L),2416327
2509,Hamiliton,Natural Lake,MI-IN Till Plain,2016,8-Aug-16,Total Plankton (NU/L),648047
2542,Mongo Mill Pond,Natural Lake,MI-IN Till Plain,2017,21-Jun-17,Total Plankton (NU/L),692876
2632,George,Natural Lake,MI-IN Till Plain,2018,25-Jun-18,Total Plankton (NU/L),151
2658,Bobcat,Surface Mine Lake,Interior River Lowland,2018,3-Jul-18,Total Plankton (NU/L),130
2689,Big Long,Natural Lake,MI-IN Till Plain,2018,23-Jul-18,Total Plankton (NU/L),50
2717,Redbud,Surface Mine Lake,Interior River Lowland,2018,7-Aug-18,Total Plankton (NU/L),217
2718,Locust,Surface Mine Lake,Interior River Lowland,2018,7-Aug-18,Total Plankton (NU/L),429
2353,Hog,Natural Lake,MI-IN Till Plain,2015,14-Jul-15,Total Plankton (NU/L),1925916
2361,Skunk,Surface Mine Lake,Interior River Lowland,2015,15-Jul-15,Total Plankton (NU/L),3700614
2377,Sycamore,Surface Mine Lake,Interior River Lowland,2015,22-Jul-15,Total Plankton (NU/L),6437969
2578,Schlamm,Impoundment,Interior River,2017,17-Jul-17,Total Plankton (NU/L),3266125
2681,Latta,Natural Lake,MI-IN Till Plain,2018,16-Jul-18,Total Plankton (NU/L),104
2690,Dallas,Natural Lake,MI-IN Till Plain,2018,23-Jul-18,Total Plankton (NU/L),48
2335,Atwood,Impoundment,NA,2015,29-Jun-15,Total Plankton (NU/L),2541086
2379,Trimble,Surface Mine Lake,Interior River Lowland,2015,22-Jul-15,Total Plankton (NU/L),535057
2446,Tippecanoe,Natural Lake,MI-IN Till Plain,2016,28-Jun-16,Total Plankton (NU/L),1797259
2473,Elk Creek #9,Impoundment,Interior River,2016,19-Jul-16,Total Plankton (NU/L),4360342
2539,Atwood,Natural Lake,MI-IN Till Plain,2017,19-Jun-17,Total Plankton (NU/L),1413781
2574,Bowen,Natural Lake,MI-IN Till Plain,2017,17-Jul-17,Total Plankton (NU/L),1431635
2588,Snow,Natural Lake,MI-IN Till Plain,2017,24-Jul-17,Total Plankton (NU/L),1068310
2643,Silver,Natural Lake,MI-IN Till Plain,2018,25-Jun-18,Total Plankton (NU/L),839
2659,Skunk,Surface Mine Lake,Interior River Lowland,2018,3-Jul-18,Total Plankton (NU/L),1119
2700,Clear,Surface Mine Lake,Interior River Lowland,2018,26-Jul-18,Total Plankton (NU/L),409
2716,Spencer,Surface Mine Lake,Interior River Lowland,2018,6-Aug-18,Total Plankton (NU/L),218
2356,Long,Natural Lake,Central Corn Belt Plain,2015,13-Jul-15,Total Plankton (NU/L),2692776
2382,Center,Natural Lake,MI-IN Till Plain,2015,28-Jul-15,Total Plankton (NU/L),2078097
2458,Long,Natural Lake,Central Corn Belt Plain,2016,11-Jul-16,Total Plankton (NU/L),1257777
2485,Fletcher,Natural Lake,MI-IN Till Plain,2016,25-Jul-16,Total Plankton (NU/L),1268023
2499,Goldeneye,Impoundment,MI-IN Till Plain,2016,1-Aug-16,Total Plankton (NU/L),2274254
2604,Adams,Natural Lake,MI-IN Till Plain,2017,31-Jul-17,Total Plankton (NU/L),2723141
2607,Kiser,Natural Lake,MI-IN Till Plain,2017,7-Aug-17,Total Plankton (NU/L),1866739
2634,Big Otter,Natural Lake,MI-IN Till Plain,2018,25-Jun-18,Total Plankton (NU/L),110
2640,Gordy,Natural Lake,MI-IN Till Plain,2018,26-Jun-18,Total Plankton (NU/L),225
2694,Big Chapman,Natural Lake,MI-IN Till Plain,2018,24-Jul-18,Total Plankton (NU/L),89
2332,Oliver,Natural Lake,MI-IN Till Plain,2015,29-Jun-15,Total Plankton (NU/L),3209796
2442,Dallas,Natural Lake,MI-IN Till Plain,2016,27-Jun-16,Total Plankton (NU/L),4474364
2454,Still,Natural Lake,MI-IN Till Plain,2016,5-Jul-16,Total Plankton (NU/L),1118228
2505,Bixler,Natural Lake,MI-IN Till Plain,2016,2-Aug-16,Total Plankton (NU/L),NA
2547,Engle,Natural Lake,MI-IN Till Plain,2017,26-Jun-17,Total Plankton (NU/L),1353262
2553,Tipsaw,Impoundment,Interior River,2017,5-Jul-17,Total Plankton (NU/L),972316
2642,Loon,Natural Lake,MI-IN Till Plain,2018,25-Jun-18,Total Plankton (NU/L),822
2687,Brokesha,Natural Lake,MI-IN Till Plain,2018,23-Jul-18,Total Plankton (NU/L),198
2693,Tippecanoe,Natural Lake,MI-IN Till Plain,2018,24-Jul-18,Total Plankton (NU/L),85
2704,Fry,Surface Mine Lake,NA,2018,26-Jul-18,Total Plankton (NU/L),2343
2331,Otter,Natural Lake,MI-IN Till Plain,2015,30-Jun-15,Total Plankton (NU/L),2202459
2370,Marsh,Natural Lake,MI-IN Till Plain,2015,20-Jul-15,Total Plankton (NU/L),954132
2375,Redbud,Surface Mine Lake,Interior River Lowland,2015,22-Jul-15,Total Plankton (NU/L),NA
2449,Upper Long,Natural Lake,MI-IN Till Plain,2016,6-Jul-16,Total Plankton (NU/L),5527971
2514,Monroe (Lower),Impoundment,Interior River,2016,10-Aug-16,Total Plankton (NU/L),4306487
2524,Simonton,Natural Lake,MI-IN Till Plain,2016,15-Aug-16,Total Plankton (NU/L),1810184
2544,Henry,Natural Lake,MI-IN Till Plain,2017,21-Jun-17,Total Plankton (NU/L),1205274
2561,Chapel Pit,Surface Mine Lake,Interior River Lowland,2017,11-Jul-17,Total Plankton (NU/L),700810
2589,Pleasant,Natural Lake,MI-IN Till Plain,2017,24-Jul-17,Total Plankton (NU/L),762160
2601,Otter,Natural Lake,MI-IN Till Plain,2017,31-Jul-17,Total Plankton (NU/L),1172530
2608,Big Chapman,Natural Lake,MI-IN Till Plain,2017,7-Aug-17,Total Plankton (NU/L),2355370
2611,Mill Pond,Natural Lake,MI-IN Till Plain,2017,7-Aug-17,Total Plankton (NU/L),1761698
2337,Big Turkey,Natural Lake,MI-IN Till Plain,2015,29-Jun-15,Total Plankton (NU/L),1464532
2367,Goldeneye,Impoundment,MI-IN Till Plain,2015,21-Jul-15,Total Plankton (NU/L),1756383
2483,Skunk,Surface Mine Lake,Interior River Lowland,2016,27-Jul-16,Total Plankton (NU/L),4601459
2501,Nauvoo,Natural Lake,MI-IN Till Plain,2016,2-Aug-16,Total Plankton (NU/L),2157844
2521,Diamond,Natural Lake,MI-IN Till Plain,2016,16-Aug-16,Total Plankton (NU/L),545693
2540,Westler,Natural Lake,MI-IN Till Plain,2017,19-Jun-17,Total Plankton (NU/L),776906
2613,Hartz,Natural Lake,MI-IN Till Plain,2017,8-Aug-17,Total Plankton (NU/L),1119290
2615,Mansfield Reservoir (Hardin),Impoundment,Interior River Lowland,2017,8-Aug-17,Total Plankton (NU/L),42151547
2672,Canada,Natural Lake,Central Corn Belt Plain,2018,10-Jul-18,Total Plankton (NU/L),177
2684,Upper Long,Natural Lake,MI-IN Till Plain,2018,17-Jul-18,Total Plankton (NU/L),69
2691,Syracuse,Natural Lake,MI-IN Till Plain,2018,23-Jul-18,Total Plankton (NU/L),215
2715,Stump Jumper,Surface Mine Lake,Interior River Lowland,2018,31-Jul-18,Total Plankton (NU/L),119
2345,Loon,Natural Lake,MI-IN Till Plain,2015,6-Jul-15,Total Plankton (NU/L),4556246
2351,Fish (Lower),Natural Lake,MI-IN Till Plain,2015,14-Jul-15,Total Plankton (NU/L),1433386
2357,Clear (LaPorte),Natural Lake,MI-IN Till Plain,2015,13-Jul-15,Total Plankton (NU/L),4398400
2364,Hackberry,Surface Mine Lake,Interior River Lowland,2015,15-Jul-15,Total Plankton (NU/L),2996731
2579,Starve Hollow,Impoundment,Eastern Corn Belt Plain,2017,17-Jul-17,Total Plankton (NU/L),1615529
2638,Engle,Natural Lake,MI-IN Till Plain,2018,26-Jun-18,Total Plankton (NU/L),326
2649,Knapp,Natural Lake,MI-IN Till Plain,2018,26-Jun-18,Total Plankton (NU/L),102
2657,Fox,Surface Mine Lake,Interior River Lowland,2018,3-Jul-18,Total Plankton (NU/L),70
2347,Big Otter,Natural Lake,MI-IN Till Plain,2015,7-Jul-15,Total Plankton (NU/L),1591658
2448,Hoffman,Natural Lake,MI-IN Till Plain,2016,6-Jul-16,Total Plankton (NU/L),2193644
2465,Lower Fry,Surface Mine Lake,Interior River Lowland,2016,20-Jul-16,Total Plankton (NU/L),607223
2507,Story (Upper),Natural Lake,MI-IN Till Plain,2016,8-Aug-16,Total Plankton (NU/L),1270952
2586,Trout,Surface Mine Lake,Interior River Lowland,2017,19-Jul-17,Total Plankton (NU/L),566927
2620,Brookville,Impoundment,Eastern Corn Belt Plain,2017,15-Aug-17,Total Plankton (NU/L),2268251
2635,Little Otter,Natural Lake,MI-IN Till Plain,2018,25-Jun-18,Total Plankton (NU/L),71
