sample_id,lake_name,lake_type,ecoregion_3,year,date_sampled,parameter,value
2463,Maxinkuckee,Natural Lake,MI-IN Till Plain,2016,12-Jul-16,Secchi Depth (m),1.15
2572,Goldeneye,Impoundment,MI-IN Till Plain,2017,17-Jul-17,Secchi Depth (m),2.6
2606,Upper Long,Natural Lake,MI-IN Till Plain,2017,31-Jul-17,Secchi Depth (m),1.1
2610,Lawrence,Natural Lake,MI-IN Till Plain,2017,7-Aug-17,Secchi Depth (m),2.9
2646,McClish,Natural Lake,MI-IN Till Plain,2018,25-Jun-18,Secchi Depth (m),3.2
2688,Pretty,Natural Lake,MI-IN Till Plain,2018,23-Jul-18,Secchi Depth (m),4.3
2344,Blackman,Natural Lake,MI-IN Till Plain,2015,6-Jul-15,Secchi Depth (m),2.1
2368,Goose,Natural Lake,MI-IN Till Plain,2015,21-Jul-15,Secchi Depth (m),2.9
2369,Failing,Natural Lake,MI-IN Till Plain,2015,20-Jul-15,Secchi Depth (m),2.5
2440,Beaver Dam,Natural Lake,MI-IN Till Plain,2016,27-Jun-16,Secchi Depth (m),2.6
2506,Story (Lower),Natural Lake,MI-IN Till Plain,2016,8-Aug-16,Secchi Depth (m),3.05
2605,Latta,Natural Lake,MI-IN Till Plain,2017,31-Jul-17,Secchi Depth (m),1.4
2654,"Twin Pitts, West",Surface Mine Lake,Interior River Lowland,2018,2-Jul-18,Secchi Depth (m),2.1
2682,Goshen Dam Pond,Impoundment,MI-IN Till Plain,2018,17-Jul-18,Secchi Depth (m),0.8
2701,Chapel Pit,Surface Mine Lake,Interior River Lowland,2018,26-Jul-18,Secchi Depth (m),2.3
2714,Scheister,Surface Mine Lake,Interior River Lowland,2018,31-Jul-18,Secchi Depth (m),5
2350,Bass (N.Chain),Natural Lake,MI-IN Till Plain,2015,14-Jul-15,Secchi Depth (m),2.1
2385,Oswego,Natural Lake,MI-IN Till Plain,2015,28-Jul-15,Secchi Depth (m),1.9
2390,Webster,Natural Lake,MI-IN Till Plain,2015,28-Jul-15,Secchi Depth (m),1.7
2500,Rothenberger,Natural Lake,MI-IN Till Plain,2016,2-Aug-16,Secchi Depth (m),3.7
2522,Hunter,Natural Lake,MI-IN Till Plain,2016,15-Aug-16,Secchi Depth (m),2.95
2564,West,Surface Mine Lake,Interior River Lowland,2017,12-Jul-17,Secchi Depth (m),1
2567,Long,Natural Lake,Central Corn Belt Plain,2017,17-Jul-17,Secchi Depth (m),2.4
2568,Loomis,Natural Lake,Central Corn Belt Plain,2017,17-Jul-17,Secchi Depth (m),1.6
2587,Jimmerson,Natural Lake,MI-IN Till Plain,2017,24-Jul-17,Secchi Depth (m),2.3
2678,Pleasant,Natural Lake,MI-IN Till Plain,2018,16-Jul-18,Secchi Depth (m),2
2679,Syl-Van,Natural Lake,MI-IN Till Plain,2018,16-Jul-18,Secchi Depth (m),2.7
2698,University,Impoundment,Interior River,2018,25-Jul-18,Secchi Depth (m),3.4
2365,Hale,Surface Mine Lake,Interior River Lowland,2015,15-Jul-15,Secchi Depth (m),3.2
2464,Holem,Natural Lake,MI-IN Till Plain,2016,12-Jul-16,Secchi Depth (m),2.45
2489,Knapp,Natural Lake,MI-IN Till Plain,2016,26-Jul-16,Secchi Depth (m),1.95
