sample_id,lake_name,ecoregion_3,year,date_sampled,parameter,sample_location,value
2369,Failing,MI-IN Till Plain,2015,20-Jul-15,Surface Area (ha),Average,9.31
2440,Beaver Dam,MI-IN Till Plain,2016,27-Jun-16,Surface Area (ha),Average,4.45
2506,Story (Lower),MI-IN Till Plain,2016,8-Aug-16,Surface Area (ha),Average,31.16
2605,Latta,MI-IN Till Plain,2017,31-Jul-17,Surface Area (ha),Average,17
2654,"Twin Pitts, West",Interior River Lowland,2018,2-Jul-18,Surface Area (ha),Average,7.28
2682,Goshen Dam Pond,MI-IN Till Plain,2018,17-Jul-18,Surface Area (ha),Average,57.47
2701,Chapel Pit,Interior River Lowland,2018,26-Jul-18,Surface Area (ha),Average,1.21
2714,Scheister,Interior River Lowland,2018,31-Jul-18,Surface Area (ha),Average,4.13
2350,Bass (N.Chain),MI-IN Till Plain,2015,14-Jul-15,Surface Area (ha),Average,35.61
2385,Oswego,MI-IN Till Plain,2015,28-Jul-15,Surface Area (ha),Average,16.59
2390,Webster,MI-IN Till Plain,2015,28-Jul-15,Surface Area (ha),Average,313.24
2500,Rothenberger,MI-IN Till Plain,2016,2-Aug-16,Surface Area (ha),Average,2.43
2522,Hunter,MI-IN Till Plain,2016,15-Aug-16,Surface Area (ha),Average,40.07
2564,West,Interior River Lowland,2017,12-Jul-17,Surface Area (ha),Average,39.2
2567,Long,Central Corn Belt Plain,2017,17-Jul-17,Surface Area (ha),Average,26.31
2568,Loomis,Central Corn Belt Plain,2017,17-Jul-17,Surface Area (ha),Average,25.09
2587,Jimmerson,MI-IN Till Plain,2017,24-Jul-17,Surface Area (ha),Average,114.53
2678,Pleasant,MI-IN Till Plain,2018,16-Jul-18,Surface Area (ha),Average,171.59
2679,Syl-Van,MI-IN Till Plain,2018,16-Jul-18,Surface Area (ha),Average,9.71
2698,University,Interior River,2018,25-Jul-18,Surface Area (ha),Average,3.24
2365,Hale,Interior River Lowland,2015,15-Jul-15,Surface Area (ha),Average,6.07
2464,Holem,MI-IN Till Plain,2016,12-Jul-16,Surface Area (ha),Average,12.14
2489,Knapp,MI-IN Till Plain,2016,26-Jul-16,Surface Area (ha),Average,35.61
2509,Hamiliton,MI-IN Till Plain,2016,8-Aug-16,Surface Area (ha),Average,324.57
2542,Mongo Mill Pond,MI-IN Till Plain,2017,21-Jun-17,Surface Area (ha),Average,29.54
2632,George,MI-IN Till Plain,2018,25-Jun-18,Surface Area (ha),Average,205.99
2658,Bobcat,Interior River Lowland,2018,3-Jul-18,Surface Area (ha),Average,2
2689,Big Long,MI-IN Till Plain,2018,23-Jul-18,Surface Area (ha),Average,148.12
2717,Redbud,Interior River Lowland,2018,7-Aug-18,Surface Area (ha),Average,1.62
2718,Locust,Interior River Lowland,2018,7-Aug-18,Surface Area (ha),Average,2.83
2353,Hog,MI-IN Till Plain,2015,14-Jul-15,Surface Area (ha),Average,23.88
2361,Skunk,Interior River Lowland,2015,15-Jul-15,Surface Area (ha),Average,0.3
2377,Sycamore,Interior River Lowland,2015,22-Jul-15,Surface Area (ha),Average,2.83
2578,Schlamm,Interior River,2017,17-Jul-17,Surface Area (ha),Average,7.69
2681,Latta,MI-IN Till Plain,2018,16-Jul-18,Surface Area (ha),Average,17
2690,Dallas,MI-IN Till Plain,2018,23-Jul-18,Surface Area (ha),Average,114.53
2335,Atwood,NA,2015,29-Jun-15,Surface Area (ha),Average,7.28
2379,Trimble,Interior River Lowland,2015,22-Jul-15,Surface Area (ha),Average,3.64
2446,Tippecanoe,MI-IN Till Plain,2016,28-Jun-16,Surface Area (ha),Average,286.12
2473,Elk Creek #9,Interior River,2016,19-Jul-16,Surface Area (ha),Average,19.43
2539,Atwood,MI-IN Till Plain,2017,19-Jun-17,Surface Area (ha),Average,68.8
2574,Bowen,MI-IN Till Plain,2017,17-Jul-17,Surface Area (ha),Average,12.14
2588,Snow,MI-IN Till Plain,2017,24-Jul-17,Surface Area (ha),Average,125.46
2643,Silver,MI-IN Till Plain,2018,25-Jun-18,Surface Area (ha),Average,96.32
2659,Skunk,Interior River Lowland,2018,3-Jul-18,Surface Area (ha),Average,0.3
2700,Clear,Interior River Lowland,2018,26-Jul-18,Surface Area (ha),Average,1.21
2716,Spencer,Interior River Lowland,2018,6-Aug-18,Surface Area (ha),Average,2.43
2356,Long,Central Corn Belt Plain,2015,13-Jul-15,Surface Area (ha),Average,26.31
2382,Center,MI-IN Till Plain,2015,28-Jul-15,Surface Area (ha),Average,48.56
2458,Long,Central Corn Belt Plain,2016,11-Jul-16,Surface Area (ha),Average,26.31
2485,Fletcher,MI-IN Till Plain,2016,25-Jul-16,Surface Area (ha),Average,18.21
2499,Goldeneye,MI-IN Till Plain,2016,1-Aug-16,Surface Area (ha),Average,8.09
2604,Adams,MI-IN Till Plain,2017,31-Jul-17,Surface Area (ha),Average,118.58
2607,Kiser,MI-IN Till Plain,2017,7-Aug-17,Surface Area (ha),Average,3.64
